code,name,location,nirf2025,cutoffs,fees,accreditation,establishment,affiliation,placements,branches_current_year
AARM,AAR Mahaveer Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ACEG,ACE Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AITH,Annamacharya Institute of Technology and Science — Hyderabad,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AIZA,Aizza College of Engineering & Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AKIT,Abdul Kalam Institute of Technological Sciences,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ANRK,Anurag Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ARJN,Arjun College of Technology and Science,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ARTI,Ramappa Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ASRA,Avanthis Scientific Technological and Research Academy,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ATAM,Aurora Technological Academy,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ATIB,Aurora Technological Institute,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ATRA,Aurora Technological and Research Academy,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AURB,Aurora's Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AURC,Aurora's Scientific Technological and Research Academy,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AURD,Aurora's Technological Institute,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AURG,Aurora's Scientific and Technological Institute,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AURK,Aurora's Technological and Management Academy,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AURN,Aurora's Technological Institute,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AVIH,Avanthi Institute of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AVNI,AVN Institute of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
