code,profile_name,rank_or_band,listed_institution,listed_city,source_url
CBIT,Chaitanya Bharathi Institute of Technology Society,151–200,Chaitanya Bharathi Institute of Technology,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking200.html
CMRG,CMR Technical Campus,201–300,CMR Technical Campus,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html
CMRK,CMR College of Engineering and Technology,201–300,CMR College of Engineering & Technology,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html
CVRH,CVR College of Engineering,151–200,CVR College of Engineering,Ibrahimpatan,https://www.nirfindia.org/Rankings/2025/EngineeringRanking200.html
CVSR,Anurag University,101–150,Anurag University,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking150.html
GNTW,G. Narayanamma Institute of Technology and Science for Women,201–300,G. Narayanamma Institute of Technology & Science for Women,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html
GRRR,Gokaraju Rangaraju Institute of Engineering and Technology,151–200,Goka Raju Ranga Raju Institute of Engineering & Technology,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking200.html
IARE,Institute of Aeronautical Engineering,151–200,Institute of Aeronautical Engineering,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking200.html
KITS,Kakatiya Institute of Technology and Science,201–300,Kakatiya Institute of Technology & Science,Warangal,https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html
MLID,MLR Institute of Technology,201–300,MLR Institute of Technology,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html
MRCW,Malla Reddy Engineering College for Women,201–300,Malla Reddy Engineering College for Women (Autonomous),Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html
VGNT,Vignan Institute of Technology and Science,151–200,Vignan Institute of Technology and Science,Yadadri-Bhuvangiri,https://www.nirfindia.org/Rankings/2025/EngineeringRanking200.html
VJEC,VNR Vignana Jyothi Institute of Engineering and Technology,151–200,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking200.html
VJIT,Vidya Jyothi Institute of Technology,201–300,Vidya Jyothi Institute of Technology,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html
VMEG,Vardhaman College of Engineering,151–200,Vardhaman College of Engineering,Rangareddy,https://www.nirfindia.org/Rankings/2025/EngineeringRanking200.html
AUCE,Andhra University College of Engineering (AUCE),88,AU College of Engineering (A),Visakhapatnam,https://www.nirfindia.org/Rankings/2025/EngineeringRanking.html
SVUC,Sri Venkateswara University College of Engineering,201–300,Sri Venkateswara University,Tirupati,https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html
JNTA,"JNTUA College of Engineering, Anantapur",151–200,Jawaharlal Nehru Technological University,Ananthapuramu,https://www.nirfindia.org/Rankings/2025/EngineeringRanking200.html
OUCE,"University College of Engineering, Osmania University",101–150,University College of Engineering,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking150.html
JNTH,"JNTUH College of Engineering, Hyderabad",94,Jawaharlal Nehru Technological University,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking.html
KLUN,KL University — Vijayawada (Guntur),35,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,https://www.nirfindia.org/Rankings/2025/EngineeringRanking.html
GITM,GITAM University — Visakhapatnam,101–150,Gandhi Institute of Technology And Management (GITAM),Visakhapatnam,https://www.nirfindia.org/Rankings/2025/EngineeringRanking150.html
VIGF,"Vignan's Foundation for Science, Technology & Research",80,"Vignan's Foundation for Science, Technology and Research",Guntur,https://www.nirfindia.org/Rankings/2025/EngineeringRanking.html
