code,name,location,district,region,type
BECB,Bapatla Engineering College - Bapatla,Bapatla,Bapatla,JNTUK,PVT
ACES,Aditya College of Engineering - Peddapuram,Peddapuram,East Godavari,AU,PVT
ACET,Aditya College of Engineering and Technology - Peddapuram,Peddapuram,East Godavari,AU,PVT
KIEW,Kakinada Inst of Engg and Technology for Women - Kakinada,Kakinada,East Godavari,AU,PVT
KIEK,Kakinada Institute of Engg. and Technology - Kakinada,Kakinada,East Godavari,AU,PVT
KIET,Kakinada Institute of Engg. and Technology - Kakinada,Kakinada,East Godavari,AU,PVT
KISR,Kakinada Institute of Technology Sciences - Ramachandrapuram,Ramachandrapuram,East Godavari,AU,PVT
ELRU,Eluru College of Engg and Technology - Eluru,Eluru,Eluru,JNTUK,PVT
GVRS,G V R and S College of Engg. and Technology - Guntur,Guntur,Guntur,JNTUK,PVT
HIND,Hindu College of Engineering and Technology - Guntur,Guntur,Guntur,JNTUK,PVT
KITS,KKR and KSR Inst of Technology and Sci - Guntur,Guntur,Guntur,JNTUK,PVT
LOYL,Loyola Institute of Technology and Mgmt - Sattenapally,Sattenapally,Guntur,JNTUK,PVT
RVJC,R V R and J C College of Engineering - Guntur,Guntur,Guntur,JNTUK,PVT
STEN,Sai Tirumala N V R Engineering College - Narsaraopet,Narsaraopet,Guntur,JNTUK,PVT
MPLG,Sri Mittapalli College of Engineering - Guntur,Guntur,Guntur,JNTUK,PVT
STMW,St.Marys Womens Engineering College - Guntur,Guntur,Guntur,JNTUK,PVT
VNIW,Vignans Nirula Inst of Tech. and Sci for Women - Guntur,Guntur,Guntur,JNTUK,PVT
SRIP,Sai Rajeswari Institute of Technology - Proddatur,Proddatur,Kadapa,JNTUA/SVU,PVT
SVCK,Sri Venkateswara College of Engineering - Kadapa,Kadapa,Kadapa,JNTUA/SVU,PVT
VITS,Vaagdevi Institute of Technology and Sci. - Proddatur,Proddatur,Kadapa,JNTUA/SVU,PVT
ASKW,Ashoka Womens Engineering College - Kurnool,Kurnool,Kurnool,JNTUA/SVU,PVT
MVRS,M.V.R.Coll of Engineering and Technology - Paritala,Paritala,NTR District,JNTUK,PVT
VCTN,Vikas College of Engineering and Technology - Vijayawada,Vijayawada,NTR District,JNTUK,PVT
NRNG,Narayana Engineering College - Gudur,Gudur,Nellore,JNTUA/SVU,PVT
NARN,Narayana Engineering College - Nellore,Nellore,Nellore,JNTUA/SVU,PVT
VITK,P B R Visvodaya Institute of Technology and Sci. - Kavali,Kavali,Nellore,JNTUA/SVU,PVT
PACE,Pace Institute of Technology and Sciences - Ongole,Ongole,Prakasam,JNTUK,PVT
SSCE,Sri Sivani College of Engineering - Srikakulam,Srikakulam,Srikakulam,AU,PVT
SRET,Sree Rama Engineering College - Tirupathi,Tirupathi,Tirupati,JNTUA/SVU,PVT
SVCE,Sri Venkateswara Coll of Engineering - Tirupathi,Tirupathi,Tirupati,JNTUA/SVU,PVT
CEVP,Chaitanya Engineering College - Visakhapatnam,Visakhapatnam,Visakhapatnam,AU,PVT
SAVE,Sankethika Vidya Parishad Engineering College - Visakhapatnam,Visakhapatnam,Visakhapatnam,AU,PVT
VIVP,Vignans Institute of Information Technology - Visakhapatnam,Visakhapatnam,Visakhapatnam,AU,PVT
SASI,Sasi Institute of Technology and Engineering - Tadepalligudem,Tadepalligudem,West Godavari,JNTUK,PVT
VSVT,Sri Vasavi Engineering College - Tadepalligudem,Tadepalligudem,West Godavari,JNTUK,PVT
